ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
303,7,7,2,1725,4560,4584,2352,1619,106,297,364,410,654,492,340,33,0.25,2151,188,728,1200,1524,944,58,193,1724,124,0,52,0,0,4,0,0,0,1,1.356,0,1725,303,24
304,7,7,2,2117,5220,5335,2764,1727,390,168,214,475,1260,1556,600,88,0.23,1101,294,749,1224,2092,976,14,143,383,214,2,345,0,0,4,0,0,0,1,1.09926,0,2117,304,115
305,7,7,2,669,1691,1691,849,583,86,57,150,186,276,293,183,40,0.27,115,87,219,399,611,375,0,25,68,0,0,22,0,0,4,0,0,0,1,1.04976,0,669,305,0
306,7,7,2,1222,2980,2979,1605,992,230,197,161,205,659,639,384,42,0.19,294,168,424,857,1084,446,17,142,75,60,0,0,0,0,4,0,0,0,1,1.04712,0,1222,306,-1
307,7,7,2,1783,4896,4898,2714,1707,76,338,216,341,888,479,323,51,0.19,543,326,829,1320,1704,719,10,143,269,53,0,68,0,0,4,0,0,0,1,1.18462,0,1783,307,2
308,7,7,2,1119,3172,3198,1530,1111,8,139,158,300,522,290,210,14,0.23,160,228,563,816,979,612,11,35,92,8,0,14,0,0,4,0,0,0,1,1.17323,0,1119,308,26
309,7,7,2,3536,7379,7420,4187,1658,1878,658,782,925,1171,499,288,65,0.24,3640,364,963,2437,2118,1538,453,817,1494,281,29,566,0,0,4,0,0,0,1,1.70101,0,3536,309,41
310,7,7,2,689,1820,1828,1133,491,198,105,117,202,265,873,104,544,0.12,12646,142,404,694,430,158,1083,2878,1515,2951,74,4145,0,0,3,0,0,0,3,1.78361,0,689,310,8
311,7,7,2,1825,4055,4074,2499,1254,571,301,308,473,743,916,232,352,0.16,17034,188,533,1288,1601,464,1134,4587,1606,6329,0,3378,0,0,4,0,0,0,3,2.26932,0,1825,311,19
312,7,7,2,2970,7428,7429,4060,2117,853,391,244,737,1598,1282,366,80,0.09,384,728,918,3263,2079,441,11,92,104,124,0,53,0,0,4,0,0,0,3,1.2204,0,2970,312,1
313,7,7,2,836,1928,2020,1087,84,752,365,155,189,127,7842,99,1254,0.18,10339,86,264,657,734,279,399,1269,631,6263,1,1776,0,0,4,0,0,0,3,1.25109,0,836,313,92
314,7,7,2,1951,6375,6394,2940,545,1406,610,390,631,320,357,83,181,0.11,6556,531,1568,2628,1130,537,819,749,2033,2052,0,903,0,12,2,0,0,0,3,2.37934,0,1951,314,19
315,7,7,2,1511,2808,2812,1159,85,1426,767,483,209,52,425,52,217,0.15,16406,102,362,1346,673,329,1499,2525,3109,8474,30,769,0,15.98506,2,0,0,0,3,3.69504,0,1511,315,4
316,7,7,2,904,2546,2547,1483,503,401,216,211,274,203,115,56,15,0.11,618,205,501,1008,640,193,49,80,260,191,0,38,0,12.01945,3,0,0,0,3,1.88706,0,904,316,1
317,7,7,2,2046,4626,4659,2655,1058,988,620,488,448,490,344,210,48,0.21,1295,208,601,1624,1449,777,83,110,970,108,5,19,0,0,4,1854.56946,0,0,3,1.42297,0,2046,317,33
318,7,7,2,1305,3478,3478,1625,1164,141,245,258,314,488,184,126,9,0.24,814,234,596,889,1062,697,177,167,347,70,0,53,0,0,4,0,0,0,2,1.59864,0,1305,318,0
319,7,7,2,1067,2932,2939,1512,1053,14,137,145,210,575,301,216,9,0.23,358,178,437,751,1008,565,11,21,158,158,0,10,0,0,4,0,0,0,2,1.19001,0,1067,319,7
320,7,7,2,2258,5701,5726,3070,1669,589,584,523,709,442,321,218,19,0.19,749,324,984,1923,1577,918,17,74,238,411,0,9,0,0,4,0,0,0,3,1.44794,0,2258,320,25
321,7,7,2,1080,3014,3044,1537,1048,32,181,237,305,357,272,168,28,0.25,743,181,475,845,898,645,2,31,411,270,0,29,0,0,4,0,0,0,2,1.32683,0,1080,321,30
322,7,7,2,1962,4779,4790,2496,1641,321,263,346,598,755,411,260,50,0.22,2142,258,735,1328,1589,880,112,542,661,710,0,117,0,0,4,1972.29565,0,0,3,1.45936,0,1962,322,11
323,7,7,2,2071,5365,5397,2741,944,1127,507,555,465,544,256,151,38,0.23,1630,320,936,1796,1236,1109,457,224,414,384,5,146,0,0,3,0,0,0,3,1.75797,0,2071,323,32
324,7,7,2,1602,4780,4780,2338,414,1188,601,489,378,134,124,88,8,0.1,866,410,958,2107,943,362,144,108,355,214,16,29,0,0,3,0,0,0,3,2.13964,0,1602,324,0
325,7,7,2,2433,7113,7165,3928,1218,1215,510,601,775,547,261,166,18,0.12,660,524,1371,2911,1751,608,0,53,388,183,2,34,0,0,4,0,0,0,3,1.72005,0,2433,325,52
326,7,7,2,1061,3751,3779,1743,153,908,420,426,176,39,143,47,36,0.07,1522,373,930,1696,596,184,398,209,478,297,2,138,0,14.31348,2,0,0,0,3,2.46641,0,1061,326,28
327,7,7,2,1525,6056,6302,2796,714,811,552,479,278,216,177,83,37,0.08,1404,544,1731,2523,1156,348,203,259,610,78,4,250,0,0,4,0,0,0,3,2.30145,0,1525,327,246
328,7,7,2,1444,4235,4236,2273,1154,290,279,245,424,496,254,162,20,0.14,1321,291,763,1502,1221,459,216,320,346,183,0,256,0,0,4,0,0,0,3,1.60865,0,1444,328,1
329,7,7,2,1526,6084,6178,2870,781,745,468,317,528,213,282,124,93,0.11,3554,514,1643,2268,1244,509,354,494,795,1009,16,886,0,0,3,0,0,0,3,2.08935,0,1526,329,94
330,7,7,2,1618,5677,5694,2901,1153,465,375,455,529,259,230,154,16,0.1,813,496,1396,2168,1220,414,14,62,190,506,0,41,0,0,3,0,0,0,3,1.67785,0,1618,330,17
331,7,7,2,1406,6066,6067,2547,1084,322,405,343,379,279,3016,171,632,0.12,9532,455,1912,2022,1063,615,525,2561,495,1070,0,4881,0,0,3,0,0,0,3,1.53673,0,1406,331,1
332,7,7,2,966,4885,4962,1967,814,152,363,206,269,128,1336,174,255,0.1,4356,392,1563,1566,1061,380,327,1137,569,870,1,1452,0,0,4,125.02602,0,0,3,1.53191,0,966,332,77
333,7,7,2,2598,10578,10634,3896,2046,552,1039,567,601,391,800,441,106,0.12,842,912,3057,3437,2208,1020,127,126,351,68,11,159,0,0,4,0,0,0,3,1.29731,0,2598,333,56
334,7,7,2,1568,7453,7468,2820,1275,293,410,365,470,323,317,167,25,0.1,899,639,2369,2488,1370,602,225,69,537,21,2,45,0,0,4,0,0,0,3,1.76631,0,1568,334,15
335,7,7,2,2441,7137,7162,3510,556,1885,1147,640,387,267,236,163,20,0.06,549,770,1735,3154,1258,245,58,177,173,99,2,40,0,0,3,0,0,0,3,1.69822,0,2441,335,25
336,7,7,2,1731,4240,4239,2404,1177,554,345,347,426,613,320,188,57,0.14,641,289,562,1695,1236,457,39,337,158,61,0,46,0,0,4,0,0,0,3,1.30683,0,1731,336,-1
337,7,7,2,442,1330,1804,631,424,18,9,17,79,337,315,147,138,0.24,1093,108,268,413,654,361,11,161,493,413,5,10,0,0,4,0,0,0,3,1.17074,0,442,337,474
338,7,7,2,828,2238,2303,1167,794,34,144,130,209,345,206,136,11,0.16,206,160,439,720,700,284,3,23,41,129,0,10,0,0,4,0,0,0,3,1.22659,0,828,338,65
339,7,7,2,962,2704,2705,1234,960,2,12,48,78,824,968,763,55,0.27,911,134,498,456,999,618,8,240,399,230,4,30,0,0,4,1984.79822,70.24863,0,3,1.00201,0,962,339,1
340,7,7,2,2137,4307,4350,2447,666,1471,383,223,492,1039,502,172,233,0.27,5151,186,379,1639,1089,1057,355,2026,1012,1432,38,288,0,0,4,0,0,0,3,1.62783,0,2137,340,43
341,7,7,2,2298,4306,4307,2476,762,1536,654,435,554,655,323,175,54,0.26,5277,175,305,1821,1004,1002,810,1478,2415,219,119,236,0,0,3,0,0,0,3,2.20959,0,2298,341,1
342,7,7,2,1396,3928,4325,1897,1387,9,3,14,68,1311,2122,1769,142,0.29,1825,158,835,741,1508,1083,39,494,872,346,4,70,0,0,4,1004.38245,406.43039,117.07813,2,0.97727,0,1396,342,397
343,7,7,2,799,2239,2240,829,798,1,74,88,123,514,315,227,33,0.26,296,134,406,448,776,476,27,76,135,50,0,8,0,0,4,0,0,0,3,1.09422,0,799,343,1
344,7,7,2,1181,3342,3350,1442,1174,7,129,107,158,787,407,306,11,0.28,311,194,647,641,1056,812,3,103,141,52,5,7,0,0,4,0,0,0,3,1.12099,0,1181,344,8
345,7,7,2,1756,4392,4398,2055,1437,319,240,287,312,917,397,300,16,0.28,707,221,680,1068,1376,1053,51,295,218,112,5,26,0,0,4,0,0,0,1,1.23244,0,1756,345,6
346,7,7,2,1526,3436,3441,1497,839,687,246,268,239,773,1118,254,517,0.38,5201,145,318,755,1048,1175,165,3576,1049,252,9,150,0,0,4,0,0,0,1,1.26363,0,1526,346,5
347,8,8,3,2839,7438,7537,3417,2614,225,170,230,362,2077,33245.39844,4130,661,0.31,3526,249,1187,1128,3020,1953,61,1620,654,604,2,585,12,42,4,0,3722.40918,11082.32031,1,2.12636,0,2839,347,99
348,8,8,3,32,84,85,38,29,3,2,3,4,23,748.09998,45,300,0.31,5650,3,13,13,34,22,97,2595,1049,968,3,938,0,0,3,0,0,0,1,1.60467,0,32,348,1
349,8,8,3,319,836,846,384,294,25,19,26,41,233,710.59998,363,240,0.31,14979,28,133,127,339,219,257,6882,2781,2566,7,2486,0,0,2,0,0,0,2,1.98787,0,319,349,10
350,8,8,3,1166,2623,2893,1454,665,501,258,181,217,510,530.70001,365,106,0.25,2962,114,404,767,1014,594,159,1264,1065,284,6,184,0,0,4,0,0,0,1,1.27285,0,1166,350,270
351,8,8,3,2131,4792,5285,2656,1214,917,472,332,396,931,371.89999,257,86,0.25,4494,208,738,1402,1852,1085,242,1917,1616,430,10,279,0,0,4,1838.09424,0,0,3,1.72444,0,2131,351,493
352,8,8,3,410,942,1282,329,19,391,188,137,77,8,42,18,24,0,63,9,17,1227,29,0,0,31,32,0,0,0,0,0,3,0,0,0,2,1.48594,0,410,352,340
353,8,8,3,1834,3416,3415,1941,237,1597,1157,367,213,97,125,102,23,1.00E-02,79,293,206,2826,81,9,16,30,7,25,0,1,0,0,3,0,0,0,3,1.39366,0,1834,353,-1
354,8,8,3,735,1005,3682,62,8,727,257,260,82,136,515,144,360,0.06,4164,52,73,3118,230,209,105,572,2494,963,0,30,23,83,2,0,11529.70215,4980.55713,3,2.58243,0,735,354,2677
355,8,8,3,1884,3366,5929,3349,48,1836,759,342,392,391,878,375,441,0.06,22584,42,2442,2830,316,299,1717,1968,16481,1979,40,399,27.79074,100.28832,2,0,0,0,2,3.5306,0,1884,355,2563
356,8,8,3,4414,8026,8108,4568,1202,3212,1555,678,845,1336,487,253,82,0.35,18323,213,558,2545,2231,2561,1095,6743,3849,5721,37,878,34.1613,123.27774,2,0,0,0,3,4.50149,0,4414,356,82
357,8,8,3,1787,4883,4888,2490,1624,163,232,156,285,1114,515,422,37,0.22,1039,229,874,1052,1899,834,22,309,542,120,0,46,0,0,4,0,0,0,3,1.17745,0,1787,357,5
358,8,8,3,1907,5477,5489,2471,1880,27,216,249,370,1072,542,487,43,0.27,1183,243,996,941,2069,1240,35,256,757,113,0,22,0,0,4,0,0,0,3,1.17107,0,1907,358,12
359,8,8,3,1396,3702,3702,1814,1272,124,72,111,176,1037,381,337,38,0.22,958,170,670,767,1456,639,7,282,556,81,0,32,0,0,4,283.52283,0,0,3,1.1766,0,1396,359,0
360,8,8,3,2044,5329,5400,2690,1467,577,459,307,365,913,406,345,54,0.24,1072,254,1009,1313,1747,1077,5,322,683,37,5,20,0,0,4,0,0,0,3,1.24514,0,2044,360,71
361,8,8,3,2411,6449,6454,3298,1686,725,470,333,698,910,500,454,10,0.19,1055,349,1250,1835,1998,1022,69,428,454,57,0,47,0,0,4,0,0,0,3,1.23386,0,2411,361,5
362,8,8,3,1959,5325,5331,2240,1702,257,308,334,398,919,535,366,160,0.27,6661,218,988,983,1898,1244,224,1589,1442,787,0,2619,0,0,3,0,270.25494,0,3,1.61506,0,1959,362,6
363,8,8,3,1037,2579,2579,1334,699,338,255,175,267,340,251,191,25,0.27,896,112,473,622,756,616,15,126,683,52,0,20,0,0,4,0,0,0,3,1.28051,0,1037,363,0
364,8,8,3,712,1850,1850,921,512,200,218,84,130,280,223,189,33,0.36,890,58,301,288,600,603,101,181,544,4,0,60,0,0,4,0,0,0,3,1.21261,0,712,364,0
365,8,8,3,1812,3640,3641,2322,350,1462,568,400,497,347,159,112,40,0.13,1250,169,441,1693,989,349,241,361,428,192,2,26,0,0,3,0,0,0,3,1.66176,0,1812,365,1
366,8,8,3,2272,5517,5527,2723,993,1279,660,519,504,589,350,181,144,0.24,3287,249,851,1812,1489,1126,235,834,1012,972,17,217,0,0,4,0,0,0,3,1.6236,0,2272,366,10
367,8,8,3,2605,6724,6725,3249,1491,1114,658,427,496,1024,518,409,73,0.23,2259,232,1291,1435,2478,1289,106,610,1230,49,8,256,0,0,4,0,0,0,3,1.33818,0,2605,367,1
368,8,8,3,1430,4025,4035,1929,1397,33,165,125,189,951,2243,1939,28,0.29,852,142,734,552,1629,978,16,239,241,276,0,80,0,0,5,2154.04956,0,0,1,0.95123,0,1430,368,10
369,8,8,3,1929,4750,4755,2035,1662,267,228,268,251,1182,633,588,36,0.36,1553,191,727,653,1651,1533,120,371,683,334,0,45,0,0,4,0,0,0,2,1.1351,0,1929,369,5
370,8,8,3,1675,4096,4096,1841,1187,488,328,248,312,787,563,431,114,0.32,6534,141,574,728,1526,1127,895,3096,1183,1057,112,191,0,0,4,1678.3125,0,0,2,1.54113,0,1675,370,0
371,8,8,3,1195,3227,3227,1484,1057,138,190,144,232,629,421,372,49,0.3,2901,155,565,578,1087,842,238,1177,1064,166,0,256,0,0,4,0,0,0,3,1.32484,0,1195,371,0
372,8,8,3,2710,6634,6649,3686,717,1993,895,516,692,607,256,82,166,0.16,2962,465,1164,2719,1374,927,1431,600,576,217,15,123,0,0,3,0,0,0,3,1.8705,0,2710,372,15
373,8,8,3,1312,3233,3241,1761,1004,308,354,143,330,485,266,190,61,0.21,1324,193,436,960,1100,552,244,400,197,52,1,430,0,0,4,0,0,0,3,1.34558,0,1312,373,8
374,8,8,3,1234,2925,2925,1737,303,931,245,319,291,379,386,158,227,0.12,4558,153,437,1315,767,253,720,1442,696,901,21,778,0,0,2,0,288.51562,0,3,1.5361,0,1234,374,0
375,8,8,3,1863,3757,3774,1872,495,1368,695,362,422,384,150,131,6,0.3,261,152,363,1297,951,1011,10,76,99,67,0,9,0,0,4,0,0,0,3,1.45222,0,1863,375,17
376,8,8,3,1854,4575,4592,2692,1009,845,490,375,499,490,377,257,100,0.19,2289,216,673,1598,1389,716,280,618,182,544,1,664,0,0,4,0,0,0,3,1.39353,0,1854,376,17
377,8,8,3,2342,4769,4771,3008,771,1571,483,563,646,650,400,265,128,0.17,2290,226,499,1908,1516,622,221,510,435,869,1,254,0,0,4,0,0,0,3,1.35601,0,2342,377,2
378,8,8,3,1341,2722,2741,1838,509,832,251,277,407,406,248,148,82,0.13,6924,151,264,1327,736,263,354,2215,1625,2421,1,308,0,0,3,0,0,0,3,2.39437,0,1341,378,19
379,8,8,3,2317,5719,5746,3452,768,1549,583,596,661,477,240,191,33,0.11,1398,378,912,2704,1290,462,133,176,232,720,20,117,0,0,3,186.21466,0,0,3,1.6058,0,2317,379,27
380,8,8,3,2090,5280,5280,2718,59,2031,714,611,475,290,129,79,19,0.1,477,346,681,2734,1141,378,182,142,141,12,0,0,0,0,3,0,0,0,3,2.0315,0,2090,380,0
381,8,8,3,2256,5433,5438,2791,1454,802,567,501,420,768,421,396,18,0.23,1833,318,812,1597,1653,1058,459,460,759,33,7,115,0,0,4,0,0,0,3,1.31303,0,2256,381,5
382,8,8,3,1124,2781,2796,1426,809,315,268,214,230,412,223,166,30,0.24,1301,141,410,826,840,579,330,547,119,199,0,106,0,0,4,0,0,0,3,1.42731,0,1124,382,15
383,8,8,3,758,1946,1946,815,708,50,127,122,179,330,330,234,59,0.42,3152,74,278,327,514,753,419,275,2285,101,2,70,0,0,4,1773.21863,0,0,3,1.47327,0,758,383,0
384,8,8,3,1512,4381,4383,2036,1500,12,186,187,244,895,637,618,17,0.25,1144,247,801,795,1621,919,35,256,717,122,2,12,0,0,4,0,0,0,2,1.09328,0,1512,384,2
385,8,8,3,951,2712,2712,1334,951,0,115,110,148,578,631,504,5,0.25,611,131,461,470,1090,560,33,217,212,92,0,57,0,0,5,0,0,0,1,1.04044,0,951,385,0
386,8,8,3,1089,2985,2984,1314,1088,1,95,74,196,724,476,358,17,0.31,481,135,506,441,1104,798,15,183,181,100,2,0,0,0,4,0,0,0,1,1.08912,0,1089,386,-1
387,8,8,3,1277,3589,3597,1642,1251,26,156,210,180,731,461,442,10,0.25,564,191,658,683,1322,743,106,62,188,145,1,62,0,0,4,0,0,0,3,1.08763,0,1277,387,8
388,8,8,3,2106,6045,6053,2612,2079,27,266,238,353,1249,879,762,100,0.28,2057,281,1131,1059,2105,1477,94,395,1001,403,11,153,0,0,4,1594.2207,0,0,3,1.12043,0,2106,388,8
389,8,8,3,1896,4866,4886,2166,1403,493,529,223,352,792,566,420,95,0.33,1371,210,780,855,1622,1419,390,314,550,74,12,31,0,0,4,0,0,0,3,1.17461,0,1896,389,20
390,8,8,3,1508,3252,3254,1896,746,762,351,344,370,443,267,156,85,0.19,734,187,429,1262,854,522,128,178,271,105,1,51,0,0,3,0,0,0,3,1.26001,0,1508,390,2
391,9,9,3,3097,6614,6617,3905,785,2312,680,601,816,1000,374,277,37,0.21,1338,299,604,2596,1970,1148,640,365,178,70,0,85,0,0,4,0,0,0,3,1.44219,0,3097,391,3
392,9,9,3,1986,5121,5121,3243,130,1856,375,435,765,411,99,79,17,0.06,378,434,730,2835,945,177,49,65,44,192,0,28,0,0,4,0,0,0,3,1.98242,0,1986,392,0
393,9,9,3,1806,4325,4343,2581,620,1186,388,422,590,406,241,181,54,0.19,1220,267,621,1654,1125,676,107,120,555,351,0,87,0,0,4,0,0,0,3,1.43761,0,1806,393,18
394,9,9,3,1439,3796,3888,1872,1188,251,470,316,296,357,334,203,87,0.25,6493,218,575,1190,1074,831,100,412,399,5527,2,53,0,0,3,0,0,0,3,2.08877,0,1439,394,92
395,9,9,3,2260,4862,4863,3168,638,1622,403,362,608,887,392.29999,216,174,0.11,3399,315,493,2396,1249,410,204,660,244,536,2,1753,0,0,3,0,0,0,3,1.48566,0,2260,395,1
396,9,9,3,23,49,49,32,6,17,4,4,6,9,377.5,2,240,0.11,4280,3,5,24,13,4,257,831,308,674,2,2208,0,0,2,0,0,0,3,1.66012,0,23,396,0
397,9,9,3,773,1788,1788,1003,395,378,136,119,250,268,307.39999,56,238,0.09,4652,115,196,879,492,106,195,1498,296,1394,1,1268,0,0,3,0,0,0,3,1.6811,0,773,397,0
398,9,9,3,1308,3026,3027,1697,668,640,230,201,424,453,215.7,96,102,0.09,866,194,332,1488,834,179,36,279,55,260,0,236,0,0,4,0,0,0,3,1.34768,0,1308,398,1
399,9,9,3,0,0,0,0,0,0,0,0,0,0,318.29999,0,287,0.12,5164,0,0,0,0,0,121,1783,154,1346,0,1760,0,0,3,0,0,0,3,1.66982,0,0,399,0
400,9,9,3,1876,4346,4346,2561,742,1134,496,492,504,384,247.39999,244,6,0.12,229,257,751,1708,1261,369,5,79,7,60,0,78,0,0,4,0,0,0,3,1.23524,0,1876,400,0
401,9,9,3,574,1358,1357,894,32,542,241,169,119,45,6909,344,854,0.22,16258,99,308,378,316,256,731,5116,2788,3234,0,4389,0,0,3,0,0,36.52142,3,1.49944,0,574,401,-1
402,9,9,3,183,724,724,1,99,84,0,109,56,18,1592,60,1346,1.00E-02,4641,69,134,472,49,0,22,236,410,3951,0,22,0,0,4,0,0,0,3,1.04796,0,183,402,0
403,9,9,3,0,0,0,0,0,0,0,0,0,0,1090.59998,0,1093,0.13,16305,0,0,0,0,0,347,4156,1262,4077,46,6417,0,0,3,0,249.25464,156.12773,3,1.5378,0,0,403,0
404,9,9,3,579,2063,2072,1101,415,164,177,155,145,102,9805.7002,214,168,0.13,2236,154,585,620,498,215,48,570,173,559,6,880,0,0,3,0,0,0,3,1.24183,0,579,404,9
405,9,9,3,27,96,96,51,19,8,8,7,7,5,3422.80005,10,420,0.13,2234,7,27,29,23,10,48,569,173,559,6,879,0,0,4,0,0,0,3,1.12428,0,27,405,0
406,9,9,3,0,0,0,0,0,0,0,0,0,0,777.29999,0,483,0.08,8376,0,0,0,0,0,303,1482,791,1590,4,4206,0,0,3,0,0,0,3,1.64186,0,0,406,0
407,9,9,3,0,0,0,0,0,0,0,0,0,0,1014.20001,0,913,0.08,16022,0,0,0,0,0,579,2835,1514,3041,7,8046,0,0,2,0,0,0,3,1.65075,0,0,407,0
408,9,9,3,61,122,122,78,12,49,7,8,19,27,591.79999,3,483,0.08,10462,7,5,69,35,6,378,1851,989,1986,4,5254,0,0,2,0,0,0,3,1.82583,0,61,408,0
409,9,9,3,0,0,0,0,0,0,0,0,0,0,568.59998,0,483,0.08,13377,0,0,0,0,0,484,2367,1264,2539,6,6717,0,0,1,0,0,0,3,2.08633,0,0,409,0
410,9,9,3,2950,5965,5985,3800,579,2371,342,388,915,1305,560.40002,145,322,0.08,9114,323,236,3396,1733,297,329,1613,861,1730,4,4577,0,0,3,0,0,0,3,1.95526,0,2950,410,20
411,9,9,3,0,0,0,0,0,0,0,0,0,0,273.5,0,3,0.09,143,0,0,0,0,0,1,21,5,30,0,86,0,0,3,0,0,0,3,2.94365,0,0,411,0
412,9,9,3,7429,17460,17458,6859,826,6603,1831,1683,2067,1848,1016.59998,409,696,0.09,24139,1404,3430,6826,4800,998,165,3536,822,5035,14,14567,0,0,3,0,580.68695,41.08435,3,2.10648,0,7429,412,-2
413,9,9,3,4054,9761,9770,1676,126,3928,704,572,1639,1139,339,102,225,0.03,244,759,681,6744,1459,127,28,91,95,27,0,3,0,0,4,0,0,0,3,1.44248,0,4054,413,9
414,9,9,3,982,3744,3989,1835,757,225,155,234,277,316,724,157,504,0.21,8067,197,863,1087,1133,709,251,1189,854,1188,0,4585,0,0,3,0,0,0,3,1.52494,0,982,414,245
415,9,9,3,1063,2943,2946,1472,697,366,184,148,282,449,1169.40002,119,915,0.13,23655,191,491,1138,845,281,789,8874,2570,2889,17,8516,0,0,4,0,1646.18542,7336.17041,3,1.92841,0,1063,415,3
416,9,9,3,2604,7205,7212,3604,1706,898,449,364,692,1099,832.90002,291,209,0.13,2500,468,1201,2785,2070,688,83,938,272,305,2,900,0,0,1,0,0,0,3,1.35973,0,2604,416,7
417,9,9,3,0,0,0,0,0,0,0,0,0,0,236.89999,0,183,0.13,8551,0,0,0,0,0,285,3208,929,1044,6,3079,0,0,2,0,0,0,3,2.9033,0,0,417,0
418,9,9,3,477,1428,1429,711,218,259,111,81,182,103,268.79999,123,113,0.18,2803,88,244,458,432,207,124,393,165,641,11,1469,0,0,3,0,0,0,3,1.51125,0,477,418,1
419,9,9,3,1313,3934,3940,1957,601,712,307,222,500,284,199.89999,145,48,0.18,199,243,673,1262,1191,571,9,28,12,45,1,104,0,0,3,0,0,0,3,1.29222,0,1313,419,6
420,9,9,3,770,2973,2996,1536,733,37,129,137,281,223,197,153,25,0.15,151,199,675,896,882,344,0,29,107,15,0,0,0,0,4,0,0,0,3,1.22285,0,770,420,23
421,9,9,3,2440,5661,5662,2792,164,2276,807,570,596,467,354,275,52,0.33,1240,212,602,1219,1973,1656,70,216,515,205,0,234,0,0,4,0,0,0,3,1.35752,0,2440,421,1
422,9,9,3,2685,6308,6308,2834,587,2098,931,492,712,550,341,144,134,0.25,2661,334,596,2499,1505,1374,176,485,317,775,2,906,0,0,4,0,0,0,3,1.69795,0,2685,422,0
423,9,9,3,1862,6027,6027,3086,797,1065,441,479,529,413,231,157,71,0.14,357,355,1247,2103,1675,647,33,17,295,0,0,12,0,0,4,0,0,0,3,1.41854,0,1862,423,0
424,9,9,3,2513,7554,7584,4028,1324,1189,608,696,708,501,379,263,107,0.14,923,593,1479,2757,1954,801,48,266,368,100,0,141,0,0,4,0,0,0,3,1.35647,0,2513,424,30
425,9,9,3,1428,3851,3861,2249,538,890,316,366,398,348,166,122,44,0.1,454,297,640,1812,814,298,71,120,225,4,0,34,0,0,4,0,0,0,3,1.41421,0,1428,425,10
426,9,9,3,2039,4624,4704,2693,468,1571,348,379,724,588,324.29999,91,155,0.1,2970,334,601,2338,1077,354,110,540,246,478,2,1594,0,0,3,0,0,0,3,1.74404,0,2039,426,80
427,9,9,3,177,401,408,233,41,136,30,33,63,51,726.40002,28,758,0.1,15485,29,52,203,93,31,573,2815,1281,2492,10,8314,0,0,2,421.67581,0,0,3,1.75205,0,177,427,7
428,9,9,3,552,1252,1275,729,127,425,94,103,196,159,426.20001,64,348,0.1,7338,91,163,633,292,96,272,1334,607,1181,5,3939,0,0,3,0,0,0,3,1.71513,0,552,428,23
429,9,9,3,0,0,0,0,0,0,0,0,0,0,388,0,385,0.21,6555,0,0,0,0,0,267,1704,448,1120,18,2998,0,0,3,0,0,0,3,1.62831,0,0,429,0
430,9,9,3,4,10,11,5,1,3,1,1,1,1,552.40002,16,520,0.21,12914,1,2,4,2,2,526,3357,883,2207,36,5905,0,0,2,0,0,0,3,1.93204,0,4,430,1
431,9,9,3,2,6,5,3,1,1,1,1,0,0,312.79999,16,289,0.21,7213,0,1,2,1,1,294,1875,493,1233,20,3298,0,0,3,0,0,0,3,1.91291,0,2,431,-1
432,9,9,3,139,390,391,189,46,93,56,34,29,20,826.20001,96,712,0.21,11844,28,69,140,83,71,483,3079,810,2024,33,5415,0,0,1,0,0,0,3,1.53498,0,139,432,1
433,9,9,3,2029,5689,5697,2762,665,1364,821,494,420,294,229.5,191,19,0.21,2340,405,1013,2040,1205,1034,95,609,160,400,6,1070,0,0,4,0,0,0,3,1.84159,0,2029,433,8
434,9,9,3,85,182,181,84,35,50,31,16,22,16,1206.09998,8,998,0.22,4838,11,33,62,39,36,168,1240,1006,1163,0,1261,0,0,4,0,0,0,3,1.10695,0,85,434,-1
435,9,9,3,2052,4392,4401,2029,845,1207,750,394,524,384,517.40002,187,333,0.22,15522,265,808,1508,953,867,539,3978,3226,3732,2,4045,0,0,3,0,0,0,3,2.32414,0,2052,435,9
436,9,9,3,1653,4043,4063,2004,1162,491,494,385,400,374,337,275,60,0.29,1312,214,583,1150,1073,1043,404,233,502,51,26,96,0,0,4,0,0,0,3,1.2738,0,1653,436,20
437,9,9,3,2171,6143,6144,3257,934,1237,562,512,633,464,265,186,61,0.15,582,460,1075,2328,1523,758,216,107,117,17,1,124,0,0,4,0,0,0,3,1.42569,0,2171,437,1
438,9,9,3,1487,4208,4213,2260,1203,284,392,265,454,376,352,244,92,0.21,739,214,775,1203,1275,746,85,114,465,27,1,47,0,0,4,0,0,0,3,1.20714,0,1487,438,5
439,9,9,3,1161,3116,3129,1662,815,346,317,277,287,280,267,154,44,0.2,862,181,479,951,1007,511,88,121,506,99,26,22,0,0,4,0,0,0,3,1.35566,0,1161,439,13
440,9,9,3,2699,6758,6764,3710,788,1911,560,622,926,591,337,245,87,0.13,3393,452,1024,2826,1756,706,91,317,2862,15,0,108,0,0,3,1964.23718,0,0,3,1.68597,0,2699,440,6
