observation_id,choice,availability_drive_alone,availability_shared_ride_2,availability_shared_ride_3+,availability_walk_transit_walk,availability_drive_transit_walk,availability_walk_transit_drive,availability_walk,availability_bicycle,household_id,person_id,tour_id,tour_origin_taz,primary_dest_taz,age,household_size,household_income,household_income_values,transit_subsidy,transit_subsidy_amount,cross_bay,total_travel_time_drive_alone,total_travel_time_shared_ride_2,total_travel_time_shared_ride_3+,total_travel_time_walk_transit_walk,total_travel_time_drive_transit_walk,total_travel_time_walk_transit_drive,total_travel_time_walk,total_travel_time_bicycle,total_travel_distance_drive_alone,total_travel_distance_shared_ride_2,total_travel_distance_shared_ride_3+,total_travel_distance_walk,total_travel_distance_bicycle,total_travel_cost_drive_alone,total_travel_cost_shared_ride_2,total_travel_cost_shared_ride_3+,total_travel_cost_walk_transit_walk,total_travel_cost_drive_transit_walk,total_travel_cost_walk_transit_drive,age_ctgry
152,drive_alone,1,1,1,1,1,1,1,1,1431481,1,0,131.0,9.0,60,2,7,125000.0,0,-1,0,27.11,27.11,27.11,57.58,53.79,52.39,177.2,44.3,8.9,8.9,8.9,8.86,8.86,1.6447,0.9399,0.6579,2.82,5.39,5.03,45-64
153,drive_alone,1,1,1,1,1,1,1,1,1431481,1,1,131.0,87.0,60,2,7,125000.0,0,-1,0,22.56,22.56,22.56,92.85,73.42,97.23,146.4,36.6,7.32,7.32,7.32,7.32,7.32,1.3528,0.773,0.541,3.22,3.22,3.22,45-64
154,walk_transit_walk,1,1,1,1,1,1,1,1,1431481,2,0,131.0,2.0,62,2,7,125000.0,0,-1,0,29.26,29.26,29.26,66.57,72.03,71.31,226.2,56.55,13.04,13.04,13.04,11.31,11.31,2.4098,1.3769999999999998,0.964,2.82,5.39,5.64,45-64
155,walk_transit_walk,0,1,1,1,0,1,0,0,1433052,1,0,928.0,10.0,59,3,6,87500.0,0,-1,1,,42.21,42.21,118.79,,90.95,,,,28.84,28.84,,,,4.8798,3.4158,8.0,,7.47,45-64
156,walk_transit_walk,0,1,1,1,0,1,0,0,1433052,3,0,928.0,10.0,12,3,6,87500.0,0,-1,1,,46.59,45.57,90.99,,79.34,,,,28.75,28.75,,,,4.8798,3.4158,8.0,,8.32,05-19
157,walk_transit_walk,1,1,1,1,1,1,1,0,1436422,2,0,44.0,1.0,34,2,10,275000.0,1,75,0,21.96,21.96,21.96,68.81,55.88,63.76,91.6,,5.0,5.0,5.0,4.58,,0.924,0.528,0.3696,3.22,3.22,3.22,20-44
158,walk_transit_walk,1,1,1,1,1,1,1,0,1437624,2,0,186.0,17.0,58,3,10,275000.0,1,999998,0,39.26,39.26,39.26,127.0,110.09,111.5,300.0,,15.47,15.47,15.47,15.0,,2.8588,1.6336,1.1435,3.22,5.39,3.22,45-64
159,drive_alone,1,1,1,1,1,1,1,0,1439622,1,0,48.0,107.0,58,1,6,87500.0,0,-1,0,22.1,22.1,22.1,79.4,67.84,67.84,108.8,,5.94,5.94,5.94,5.44,,1.0977,0.6273,0.4391,3.22,3.22,3.22,45-64
160,drive_alone,1,1,1,1,1,1,1,0,1441497,1,0,887.0,900.0,64,1,5,62500.0,0,-1,0,12.4,12.4,12.4,74.76,58.44,58.44,79.6,,4.16,4.16,4.16,3.98,,0.7688,0.4392,0.3076,3.62,4.63,3.62,45-64
161,drive_alone,1,1,1,0,1,1,1,0,1441497,1,1,887.0,900.0,64,1,5,62500.0,0,-1,0,12.38,12.38,12.38,,177.38,133.56,79.6,,4.16,4.16,4.16,3.98,,0.7688,0.4392,0.3076,,3.62,3.62,45-64
