INDEX,OPR_DT,OPR_HR,MWh
164,2016-03-07,21,-20.75976
165,2016-03-07,22,-20.48239
166,2016-03-07,23,-20.91014
167,2016-03-07,24,-20.74274
168,2016-03-08,1,-20.60717
169,2016-03-08,2,-20.74479
170,2016-03-08,3,-22.2102
171,2016-03-08,4,-24.12062
172,2016-03-08,5,-24.72376
173,2016-03-08,6,-25.36016
174,2016-03-08,7,250.30466
175,2016-03-08,8,1905.4048
176,2016-03-08,9,3275.38633
177,2016-03-08,10,4273.09328
178,2016-03-08,11,5326.58591
179,2016-03-08,12,5439.58203
180,2016-03-08,13,5341.2408
181,2016-03-08,14,5373.33827
182,2016-03-08,15,4957.19621
183,2016-03-08,16,4017.15922
184,2016-03-08,17,2549.15222
185,2016-03-08,18,463.30978
186,2016-03-08,19,-21.4957
187,2016-03-08,20,-20.0827
188,2016-03-08,21,-20.39946
189,2016-03-08,22,-19.57244
190,2016-03-08,23,-19.4752
191,2016-03-08,24,-19.4472
192,2016-03-09,1,-20.15311
193,2016-03-09,2,-21.35747
194,2016-03-09,3,-22.49758
195,2016-03-09,4,-23.69929
196,2016-03-09,5,-24.11331
197,2016-03-09,6,-25.3468
198,2016-03-09,7,331.76125
199,2016-03-09,8,2318.36162
200,2016-03-09,9,4249.76664
201,2016-03-09,10,5234.47891
202,2016-03-09,11,5513.67127
203,2016-03-09,12,5462.62089
204,2016-03-09,13,5487.23691
205,2016-03-09,14,5204.47792
206,2016-03-09,15,4394.19465
207,2016-03-09,16,3530.46778
208,2016-03-09,17,2095.49012
209,2016-03-09,18,382.69549
210,2016-03-09,19,11.21793
211,2016-03-09,20,14.87334
212,2016-03-09,21,15.2599
213,2016-03-09,22,15.41562
214,2016-03-09,23,14.66502
215,2016-03-09,24,15.07788
216,2016-03-10,1,14.35002
217,2016-03-10,2,13.42347
218,2016-03-10,3,13.07162
219,2016-03-10,4,9.55288
220,2016-03-10,5,10.35609
221,2016-03-10,6,9.21861
222,2016-03-10,7,370.17184
223,2016-03-10,8,2426.50958
224,2016-03-10,9,4203.80027
225,2016-03-10,10,4920.06462
226,2016-03-10,11,5474.25966
227,2016-03-10,12,5463.77815
228,2016-03-10,13,5313.71825
229,2016-03-10,14,5182.73396
230,2016-03-10,15,4828.616
231,2016-03-10,16,4064.19608
232,2016-03-10,17,2209.01362
233,2016-03-10,18,461.18249
234,2016-03-10,19,-7.93948
235,2016-03-10,20,-8.6563
236,2016-03-10,21,-7.6878
237,2016-03-10,22,-7.44474
238,2016-03-10,23,-7.61608
239,2016-03-10,24,-7.64159
240,2016-03-11,1,-7.4632
241,2016-03-11,2,-8.61567
242,2016-03-11,3,-9.4448
243,2016-03-11,4,-10.84589
244,2016-03-11,5,-11.29459
245,2016-03-11,6,-11.7773
246,2016-03-11,7,141.32233
247,2016-03-11,8,1141.41999
248,2016-03-11,9,2183.23973
249,2016-03-11,10,2561.41983
250,2016-03-11,11,2844.2464
251,2016-03-11,12,2960.93957
252,2016-03-11,13,3137.2346
253,2016-03-11,14,2560.43898
254,2016-03-11,15,2750.60398
255,2016-03-11,16,2334.53661
256,2016-03-11,17,1605.80548
257,2016-03-11,18,299.21898
258,2016-03-11,19,-24.17279
259,2016-03-11,20,-22.49428
260,2016-03-11,21,-22.2531
261,2016-03-11,22,-22.51731
262,2016-03-11,23,-22.5144
263,2016-03-11,24,-22.38883
264,2016-03-12,1,-22.26397
265,2016-03-12,2,-22.05572
266,2016-03-12,3,-22.00634
267,2016-03-12,4,-25.48103
268,2016-03-12,5,-26.13332
269,2016-03-12,6,-26.49229
270,2016-03-12,7,371.45918
271,2016-03-12,8,2472.67792
272,2016-03-12,9,4009.75928
273,2016-03-12,10,4995.16914
274,2016-03-12,11,4844.47225
275,2016-03-12,12,4321.65367
276,2016-03-12,13,3908.24214
277,2016-03-12,14,3970.67233
278,2016-03-12,15,3980.43484
279,2016-03-12,16,3640.09381
280,2016-03-12,17,2644.19084
281,2016-03-12,18,508.116
282,2016-03-12,19,-15.81103
283,2016-03-12,20,-22.92431
284,2016-03-12,21,-23.80282
285,2016-03-12,22,-23.38974
286,2016-03-12,23,-23.55589
287,2016-03-12,24,-22.20886
288,2016-03-13,1,-21.81301
289,2016-03-13,2,-21.71371
290,2016-03-13,4,-23.19139
291,2016-03-13,5,-26.60615
292,2016-03-13,6,-26.35336
293,2016-03-13,7,-25.97626
294,2016-03-13,8,347.44308
295,2016-03-13,9,1955.22447
296,2016-03-13,10,3646.6795
297,2016-03-13,11,4460.89859
298,2016-03-13,12,4612.65408
299,2016-03-13,13,4405.85466
300,2016-03-13,14,3982.29121
301,2016-03-13,15,3532.53042
302,2016-03-13,16,2825.50283
303,2016-03-13,17,1698.85717
304,2016-03-13,18,698.10702
305,2016-03-13,19,102.17827
306,2016-03-13,20,-24.70101
307,2016-03-13,21,-24.18936
308,2016-03-13,22,-23.85055
309,2016-03-13,23,-22.32868
310,2016-03-13,24,-22.05696
311,2016-03-14,1,-22.16494
312,2016-03-14,2,-22.24315
313,2016-03-14,3,-22.24583
314,2016-03-14,4,-23.20318
315,2016-03-14,5,-25.9976
316,2016-03-14,6,-26.12641
317,2016-03-14,7,-26.09735
318,2016-03-14,8,316.19859
319,2016-03-14,9,1826.89749
320,2016-03-14,10,3241.48906
321,2016-03-14,11,4096.54738
322,2016-03-14,12,4616.78226
323,2016-03-14,13,4576.91115
324,2016-03-14,14,4489.55451
325,2016-03-14,15,4730.90155
326,2016-03-14,16,4306.4952
327,2016-03-14,17,3624.66809
328,2016-03-14,18,2252.681
329,2016-03-14,19,454.24635
330,2016-03-14,20,-3.20264
331,2016-03-14,21,-2.86256
332,2016-03-14,22,-2.79242
333,2016-03-14,23,-2.89307
334,2016-03-14,24,-3.70021
335,2016-03-15,1,-3.65076
336,2016-03-15,2,-3.58064
337,2016-03-15,3,-3.53227
338,2016-03-15,4,-4.1927
339,2016-03-15,5,-6.57891
340,2016-03-15,6,-21.76877
341,2016-03-15,7,-27.10034
342,2016-03-15,8,360.19593
343,2016-03-15,9,2048.07806
344,2016-03-15,10,3776.95273
345,2016-03-15,11,4521.6548
346,2016-03-15,12,4892.53691
347,2016-03-15,13,5208.11003
348,2016-03-15,14,5460.68099
349,2016-03-15,15,5485.35713
350,2016-03-15,16,5304.98914
351,2016-03-15,17,4588.41151
352,2016-03-15,18,3022.11798
353,2016-03-15,19,673.73686
354,2016-03-15,20,-8.06595
355,2016-03-15,21,-18.44386
356,2016-03-15,22,-17.92404
357,2016-03-15,23,-17.68165
358,2016-03-15,24,-17.80492
359,2016-03-16,1,-17.641
360,2016-03-16,2,-17.68665
361,2016-03-16,3,-17.90057
362,2016-03-16,4,-18.51221
363,2016-03-16,5,-20.91781
364,2016-03-16,6,-21.95147
365,2016-03-16,7,-21.58945
366,2016-03-16,8,539.15582
367,2016-03-16,9,2829.42374
368,2016-03-16,10,4383.6345
369,2016-03-16,11,5245.1229
370,2016-03-16,12,5382.08224
371,2016-03-16,13,5417.37333
372,2016-03-16,14,5496.67978
373,2016-03-16,15,5570.61024
374,2016-03-16,16,5379.64735
375,2016-03-16,17,4592.12776
376,2016-03-16,18,3050.52181
377,2016-03-16,19,679.76361
378,2016-03-16,20,-2.13347
379,2016-03-16,21,-20.786
380,2016-03-16,22,-20.27428
381,2016-03-16,23,-20.52533
382,2016-03-16,24,-20.99901
383,2016-03-17,1,-20.28733
384,2016-03-17,2,-20.33502
385,2016-03-17,3,-20.22008
386,2016-03-17,4,-21.99514
387,2016-03-17,5,-23.9244
388,2016-03-17,6,-25.54278
389,2016-03-17,7,-24.87379
390,2016-03-17,8,535.29199
391,2016-03-17,9,2794.19237
392,2016-03-17,10,4678.24407
393,2016-03-17,11,5432.86229
394,2016-03-17,12,5670.32376
395,2016-03-17,13,5647.74442
396,2016-03-17,14,5638.81654
397,2016-03-17,15,5637.95791
398,2016-03-17,16,5388.65375
399,2016-03-17,17,4374.0953
400,2016-03-17,18,2718.57795
401,2016-03-17,19,690.57585
402,2016-03-17,20,-2.47613
403,2016-03-17,21,-20.7912
404,2016-03-17,22,-20.23533
405,2016-03-17,23,-19.81565
406,2016-03-17,24,-19.55536
407,2016-03-18,1,-19.35768
408,2016-03-18,2,-18.88042
409,2016-03-18,3,-18.56065
410,2016-03-18,4,-19.13824
411,2016-03-18,5,-21.41285
412,2016-03-18,6,-21.88822
413,2016-03-18,7,-20.83006
414,2016-03-18,8,527.23256
415,2016-03-18,9,2766.41686
416,2016-03-18,10,4610.13136
417,2016-03-18,11,5425.68842
418,2016-03-18,12,5653.59862
419,2016-03-18,13,5633.58867
420,2016-03-18,14,5583.83699
421,2016-03-18,15,5162.24539
422,2016-03-18,16,4702.07453
423,2016-03-18,17,3441.90837
424,2016-03-18,18,2535.29894
425,2016-03-18,19,590.75535
426,2016-03-18,20,-14.00712
427,2016-03-18,21,-21.46223
428,2016-03-18,22,-21.20944
429,2016-03-18,23,-21.00288
430,2016-03-18,24,-21.27442
431,2016-03-19,1,-20.52492
432,2016-03-19,2,-20.28088
433,2016-03-19,3,-20.28757
434,2016-03-19,4,-21.03816
435,2016-03-19,5,-23.18827
436,2016-03-19,6,-24.02341
437,2016-03-19,7,-21.90371
438,2016-03-19,8,558.43562
439,2016-03-19,9,2664.93496
440,2016-03-19,10,4566.01628
441,2016-03-19,11,5433.75671
442,2016-03-19,12,5692.13104
443,2016-03-19,13,5602.87802
444,2016-03-19,14,5366.3024
445,2016-03-19,15,5081.77083
446,2016-03-19,16,4770.58405
447,2016-03-19,17,3664.54366
448,2016-03-19,18,2313.86993
449,2016-03-19,19,442.09173
450,2016-03-19,20,-17.64555
451,2016-03-19,21,-20.83487
452,2016-03-19,22,-20.55121
453,2016-03-19,23,-19.92557
454,2016-03-19,24,-19.73895
455,2016-03-20,1,-19.66001
456,2016-03-20,2,-19.53748
457,2016-03-20,3,-19.63644
458,2016-03-20,4,-20.7665
459,2016-03-20,5,-23.52567
460,2016-03-20,6,-24.27801
461,2016-03-20,7,-21.90211
462,2016-03-20,8,551.69827
463,2016-03-20,9,2569.03913
464,2016-03-20,10,4291.96222
465,2016-03-20,11,5190.45783
466,2016-03-20,12,5267.88062
467,2016-03-20,13,5121.39808
468,2016-03-20,14,5541.47383
469,2016-03-20,15,5168.07143
470,2016-03-20,16,4699.58805
471,2016-03-20,17,3704.3164
472,2016-03-20,18,2279.03282
473,2016-03-20,19,519.04812
474,2016-03-20,20,28.71951
475,2016-03-20,21,28.35016
476,2016-03-20,22,29.41247
477,2016-03-20,23,29.6751
478,2016-03-20,24,-19.29245
479,2016-03-21,1,-20.30915
480,2016-03-21,2,-20.40451
481,2016-03-21,3,-20.11574
482,2016-03-21,4,-21.24802
483,2016-03-21,5,-23.07528
484,2016-03-21,6,-23.50526
485,2016-03-21,7,-19.51167
486,2016-03-21,8,532.83612
487,2016-03-21,9,2068.55645
488,2016-03-21,10,3617.20653
489,2016-03-21,11,4218.69818
490,2016-03-21,12,4125.97241
491,2016-03-21,13,4083.59823
492,2016-03-21,14,3941.04332
493,2016-03-21,15,3851.90026
494,2016-03-21,16,3130.40244
495,2016-03-21,17,2398.75718
496,2016-03-21,18,1351.11168
497,2016-03-21,19,457.71909
498,2016-03-21,20,172.54281
499,2016-03-21,21,112.38689
500,2016-03-21,22,-22.09097
501,2016-03-21,23,-22.2176
502,2016-03-21,24,-22.17349
503,2016-03-22,1,-22.12517
504,2016-03-22,2,-21.99415
505,2016-03-22,3,-22.12227
506,2016-03-22,4,-23.69519
507,2016-03-22,5,-25.19848
508,2016-03-22,6,-25.64934
509,2016-03-22,7,-21.11543
510,2016-03-22,8,571.4076
511,2016-03-22,9,2440.31575
512,2016-03-22,10,4073.47998
513,2016-03-22,11,4610.3755
514,2016-03-22,12,4908.74603
515,2016-03-22,13,4993.97704
516,2016-03-22,14,4856.31386
517,2016-03-22,15,4482.63361
518,2016-03-22,16,4249.68228
519,2016-03-22,17,3935.60745
520,2016-03-22,18,2752.52276
521,2016-03-22,19,575.82834
522,2016-03-22,20,-18.31225
523,2016-03-22,21,-23.56771
524,2016-03-22,22,-23.87613
525,2016-03-22,23,-24.19865
526,2016-03-22,24,-24.97462
527,2016-03-23,1,-24.8767
528,2016-03-23,2,-24.28098
529,2016-03-23,3,-24.09025
530,2016-03-23,4,-24.49218
531,2016-03-23,5,-25.95206
532,2016-03-23,6,-26.14418
533,2016-03-23,7,-18.56673
534,2016-03-23,8,774.54976
535,2016-03-23,9,3201.64444
536,2016-03-23,10,4767.4723
537,2016-03-23,11,5463.5025
538,2016-03-23,12,5324.78147
539,2016-03-23,13,5264.69452
540,2016-03-23,14,5567.40064
541,2016-03-23,15,5587.67434
542,2016-03-23,16,5477.23534
543,2016-03-23,17,4649.17831
544,2016-03-23,18,3177.61093
545,2016-03-23,19,886.1864
546,2016-03-23,20,3.04853
547,2016-03-23,21,-24.07578
548,2016-03-23,22,-26.04647
549,2016-03-23,23,-25.9819
550,2016-03-23,24,-24.06499
551,2016-03-24,1,-22.77099
552,2016-03-24,2,-22.87495
553,2016-03-24,3,-22.84749
554,2016-03-24,4,-23.96982
555,2016-03-24,5,-26.24733
556,2016-03-24,6,-26.59964
557,2016-03-24,7,-17.36131
558,2016-03-24,8,838.40678
559,2016-03-24,9,3045.89904
560,2016-03-24,10,4385.61844
561,2016-03-24,11,5372.04713
562,2016-03-24,12,5694.85532
563,2016-03-24,13,5711.00151
564,2016-03-24,14,5718.88482
565,2016-03-24,15,4818.04514
566,2016-03-24,16,4806.1371
567,2016-03-24,17,4305.54055
568,2016-03-24,18,2761.79907
569,2016-03-24,19,807.0738
570,2016-03-24,20,2.99333
571,2016-03-24,21,-23.89652
572,2016-03-24,22,-23.90034
573,2016-03-24,23,-23.72344
574,2016-03-24,24,-23.59225
575,2016-03-25,1,-23.66973
576,2016-03-25,2,-23.53741
577,2016-03-25,3,-23.26886
578,2016-03-25,4,-24.45878
579,2016-03-25,5,-26.0284
580,2016-03-25,6,-26.62795
581,2016-03-25,7,-17.7661
582,2016-03-25,8,841.30633
583,2016-03-25,9,3192.76613
584,2016-03-25,10,4755.66339
585,2016-03-25,11,4869.35619
586,2016-03-25,12,5117.38636
587,2016-03-25,13,5377.94706
588,2016-03-25,14,5385.7989
589,2016-03-25,15,4964.49409
590,2016-03-25,16,4989.21013
591,2016-03-25,17,4384.42462
592,2016-03-25,18,2868.49703
593,2016-03-25,19,842.99709
594,2016-03-25,20,2.28256
595,2016-03-25,21,-23.42837
596,2016-03-25,22,-24.66557
597,2016-03-25,23,-22.96395
598,2016-03-25,24,-22.73464
599,2016-03-26,1,-22.49047
600,2016-03-26,2,-22.57467
601,2016-03-26,3,-22.71779
602,2016-03-26,4,-23.97235
603,2016-03-26,5,-25.78947
604,2016-03-26,6,-26.02616
605,2016-03-26,7,-15.02472
606,2016-03-26,8,889.68816
607,2016-03-26,9,3410.35801
608,2016-03-26,10,5093.12201
609,2016-03-26,11,5633.91392
610,2016-03-26,12,5740.80525
611,2016-03-26,13,5972.32303
612,2016-03-26,14,5968.75612
613,2016-03-26,15,5948.98926
614,2016-03-26,16,5713.81873
615,2016-03-26,17,4982.01387
616,2016-03-26,18,3436.83174
617,2016-03-26,19,934.43626
618,2016-03-26,20,21.26485
619,2016-03-26,21,-23.10802
620,2016-03-26,22,-24.28732
621,2016-03-26,23,-24.54036
622,2016-03-26,24,-24.74794
623,2016-03-27,1,-22.83686
624,2016-03-27,2,-22.55346
625,2016-03-27,3,-22.52916
626,2016-03-27,4,-23.54621
627,2016-03-27,5,-25.50325
628,2016-03-27,6,-26.39922
629,2016-03-27,7,-10.80002
630,2016-03-27,8,749.87577
631,2016-03-27,9,2622.23398
632,2016-03-27,10,3878.22851
633,2016-03-27,11,4461.51128
634,2016-03-27,12,4534.45422
635,2016-03-27,13,4359.94715
636,2016-03-27,14,3986.64378
637,2016-03-27,15,3659.15195
