INDEX,OPR_DT,OPR_HR,MWh
166,2016-03-07,23,2270.86239
167,2016-03-07,24,2253.87663
168,2016-03-08,1,2055.36002
169,2016-03-08,2,2081.13349
170,2016-03-08,3,2200.41836
171,2016-03-08,4,2106.53675
172,2016-03-08,5,1905.42455
173,2016-03-08,6,1140.84789
174,2016-03-08,7,1096.69046
175,2016-03-08,8,1709.89546
176,2016-03-08,9,1855.58274
177,2016-03-08,10,1499.9648
178,2016-03-08,11,878.99488
179,2016-03-08,12,465.04596
180,2016-03-08,13,582.01265
181,2016-03-08,14,1056.09028
182,2016-03-08,15,1454.82396
183,2016-03-08,16,1926.75779
184,2016-03-08,17,1927.28845
185,2016-03-08,18,1752.56005
186,2016-03-08,19,1890.94076
187,2016-03-08,20,1583.52652
188,2016-03-08,21,1490.5872
189,2016-03-08,22,1549.70344
190,2016-03-08,23,1653.60349
191,2016-03-08,24,1709.60805
192,2016-03-09,1,1752.67081
193,2016-03-09,2,1560.25509
194,2016-03-09,3,1664.47629
195,2016-03-09,4,1840.93752
196,2016-03-09,5,1475.12954
197,2016-03-09,6,1113.994
198,2016-03-09,7,674.36262
199,2016-03-09,8,388.22604
200,2016-03-09,9,146.11476
201,2016-03-09,10,80.79209
202,2016-03-09,11,84.85936
203,2016-03-09,12,105.68469
204,2016-03-09,13,150.90616
205,2016-03-09,14,258.64054
206,2016-03-09,15,600.91996
207,2016-03-09,16,855.24991
208,2016-03-09,17,1054.17443
209,2016-03-09,18,1045.85392
210,2016-03-09,19,1129.28237
211,2016-03-09,20,929.84504
212,2016-03-09,21,713.31581
213,2016-03-09,22,537.56188
214,2016-03-09,23,588.09838
215,2016-03-09,24,831.44188
216,2016-03-10,1,1008.19687
217,2016-03-10,2,1021.42004
218,2016-03-10,3,622.13451
219,2016-03-10,4,397.1626
220,2016-03-10,5,313.25617
221,2016-03-10,6,232.38211
222,2016-03-10,7,152.94742
223,2016-03-10,8,129.61015
224,2016-03-10,9,300.49439
225,2016-03-10,10,286.94971
226,2016-03-10,11,252.94022
227,2016-03-10,12,287.98934
228,2016-03-10,13,363.97321
229,2016-03-10,14,549.47688
230,2016-03-10,15,777.24194
231,2016-03-10,16,706.08497
232,2016-03-10,17,579.72734
233,2016-03-10,18,551.65501
234,2016-03-10,19,625.25636
235,2016-03-10,20,813.34948
236,2016-03-10,21,766.75005
237,2016-03-10,22,640.65171
238,2016-03-10,23,568.30269
239,2016-03-10,24,496.02633
240,2016-03-11,1,480.13809
241,2016-03-11,2,534.54998
242,2016-03-11,3,528.37567
243,2016-03-11,4,576.13391
244,2016-03-11,5,685.022
245,2016-03-11,6,712.16756
246,2016-03-11,7,688.74445
247,2016-03-11,8,680.58546
248,2016-03-11,9,797.07741
249,2016-03-11,10,1670.52089
250,2016-03-11,11,1851.62562
251,2016-03-11,12,1437.69245
252,2016-03-11,13,1534.58284
253,2016-03-11,14,2196.95153
254,2016-03-11,15,2200.02957
255,2016-03-11,16,2546.02425
256,2016-03-11,17,3035.53883
257,2016-03-11,18,2441.09956
258,2016-03-11,19,2219.51505
259,2016-03-11,20,2212.76423
260,2016-03-11,21,2329.34761
261,2016-03-11,22,2362.26971
262,2016-03-11,23,2795.02382
263,2016-03-11,24,2911.65123
264,2016-03-12,1,2143.36476
265,2016-03-12,2,1488.74539
266,2016-03-12,3,1370.19763
267,2016-03-12,4,1429.3739
268,2016-03-12,5,1504.17621
269,2016-03-12,6,1585.78138
270,2016-03-12,7,1465.10214
271,2016-03-12,8,1504.82301
272,2016-03-12,9,1590.88577
273,2016-03-12,10,1171.57942
274,2016-03-12,11,1806.26972
275,2016-03-12,12,2232.24032
276,2016-03-12,13,2620.19572
277,2016-03-12,14,2629.86862
278,2016-03-12,15,2588.80365
279,2016-03-12,16,2627.27405
280,2016-03-12,17,2231.32845
281,2016-03-12,18,2022.34141
282,2016-03-12,19,1799.98077
283,2016-03-12,20,1837.44628
284,2016-03-12,21,2011.63997
285,2016-03-12,22,2060.8624
286,2016-03-12,23,2045.7629
287,2016-03-12,24,2036.85264
288,2016-03-13,1,2003.62754
289,2016-03-13,2,2029.37596
290,2016-03-13,4,1888.36029
291,2016-03-13,5,1555.90447
292,2016-03-13,6,1380.72576
293,2016-03-13,7,1403.92842
294,2016-03-13,8,1283.96869
295,2016-03-13,9,1437.67674
296,2016-03-13,10,1352.37282
297,2016-03-13,11,1491.21146
298,2016-03-13,12,1674.59686
299,2016-03-13,13,1712.07366
300,2016-03-13,14,1686.79076
301,2016-03-13,15,2165.55599
302,2016-03-13,16,2056.90979
303,2016-03-13,17,1902.62544
304,2016-03-13,18,1821.64439
305,2016-03-13,19,1865.47803
306,2016-03-13,20,1796.34601
307,2016-03-13,21,1718.94414
308,2016-03-13,22,1674.79282
309,2016-03-13,23,1683.92731
310,2016-03-13,24,1621.71114
311,2016-03-14,1,1640.06008
312,2016-03-14,2,1538.542
313,2016-03-14,3,1569.09937
314,2016-03-14,4,1406.62853
315,2016-03-14,5,1450.86555
316,2016-03-14,6,1574.29423
317,2016-03-14,7,1844.84596
318,2016-03-14,8,1819.93716
319,2016-03-14,9,1643.29204
320,2016-03-14,10,1669.5656
321,2016-03-14,11,1858.42714
322,2016-03-14,12,1998.02671
323,2016-03-14,13,2304.89105
324,2016-03-14,14,2162.94885
325,2016-03-14,15,2195.40948
326,2016-03-14,16,2103.03864
327,2016-03-14,17,2398.34217
328,2016-03-14,18,2630.39243
329,2016-03-14,19,2609.97566
330,2016-03-14,20,2646.86235
331,2016-03-14,21,2504.39357
332,2016-03-14,22,2319.24489
333,2016-03-14,23,2478.11193
334,2016-03-14,24,2391.77643
335,2016-03-15,1,2309.91904
336,2016-03-15,2,2163.26171
337,2016-03-15,3,1975.25015
338,2016-03-15,4,1772.7414
339,2016-03-15,5,1280.38911
340,2016-03-15,6,1128.70685
341,2016-03-15,7,988.72007
342,2016-03-15,8,781.50071
343,2016-03-15,9,501.4165
344,2016-03-15,10,215.75985
345,2016-03-15,11,162.56874
346,2016-03-15,12,140.42627
347,2016-03-15,13,130.84831
348,2016-03-15,14,90.22506
349,2016-03-15,15,97.91848
350,2016-03-15,16,143.35945
351,2016-03-15,17,318.73949
352,2016-03-15,18,554.3295
353,2016-03-15,19,820.61534
354,2016-03-15,20,1096.98846
